Column 0;Auteur;Column 2;Titel;Column 4;AlterTitel;Column 6;Serie;Column 8;Uitgever;Jaren2;Type;Column 12;Code;Column 14;Onderwerp1;Column 16;Onderwerp2;Column 18;Inhoud;Column 20;InvoerDatum
4342;Polnay, P. de;	;Isabella II (Koningin bij de gratie van generaals in...);	;A Queen of Spain, Isabel II;	;;	;Europese Bibliotheek;	1963	1963	;biografie;	;b434e;	;Isabella II van Spanje;	;Alfonso XII van Spanje, Francisco de Assisi van Spanje, Don Carlos 'V' van Spanje, Baldomero II Espartero, Amadeus I van Spanje en Savoye, Louisa van Spanje, Maria Christina van Sicilië;	;ï;;NULL
3452;Read, J.;	;The Catalans;	;;	;;	;Faber & Faber;	0	1978	;studie;	;b345n;	;Ferdinand II van Aragon, Pedro IV de prachtlievende van Aragon, e.a.;	;Ramón Berenguer III van Barcelona, Wilfred de harige van Barcelona, Jaime I de veroveraar van Aragon, Ramón Berenguer IV van Barcelona, Peter II de katholieke van Aragon, Ramon Berenguer II de broedermoordenaar van Barcelona, Alfonso II van Aragon;	;ïx;;NULL
2290;Anderson, P. en K.;	;Gallicenae;	;The King of Ys: Gallicenae;	;The King of Ys (II);	;Baen Books;	1987	1987	;roman;	;p229e;	;Niall van de negen gijzelaars van Ierland, e.a.;	;Julius de afvallige van Rome, Theodosius I de grote van Rome, Gratianus van Rome, paus Damasus, Conual Corcc Maqq Lugthaci van Cashel, Flavius Stilicho;	;;;NULL
2347;Braasem, W.A.;	;Lodewijk II en zijn "Königsschlösser";	;Lodewijk II en zijn "Königsschlösser";	;;	;Courant Het Vaderland;	0	0	;korte biografie;	;z234n;	;Ludwig II van Beieren;	;Rococo, kasteel Herrenchiemsee;	;ï;;NULL
2334;Vacha, B.;	;Die Habsburger (Eine Europäische Familiengeschichte);	;Die Habsburger;	;;	;Verlag Syria;	1992	1993	;studie;	;l233d;	;Frans Jozef I van Oostenrijk, Marie Theresia van Oostenrijk, e.a.;	;Maximiliaan I van Oostenrijk, Karel V van Oostenrijk, Leopold I van Oostenrijk, Ferdinand II van Oostenrijk, Rudolf II van Oostenrijk, Ferdinand I van Oostenrijk, Filips II van Spanje, Karel VI van Oostenrijk, Jozef II van Oostenrijk;	;ixh;;NULL
2357;Blond, A.;	;Blond's Roman Emperors;	;Blond's Roman Emperors;	;;	;Quartet Books;	1994	0	;biografieën;	;z235e;	;Claudius van Rome, Augustus van Rome, Nero van Rome, e.a.;	;Julius Caesar van Rome, Caligula van Rome, Tiberius van Rome;	;x;;NULL
2300;Lee, M., Kelly, M. (eds.);	;Pocket Guide to Kings & Queens of Britain and Europe;	;Kings & Queens of Britain and Europe;	;Larousse Pocket Guide;	;Larousse;	1995	1995	;naslagwerk;	;p230e;	;Napoleon I Bonaparte, Robert I Bruce van Schotland, e.a.;	;Hendrik II van Engeland, Victoria van Groot-Brittannië, Filips II van Spanje, Mary I Stuart van Schotland, Lodewijk XIV van Frankrijk, Hendrik VIII van Engeland, Geiserik van de Vandalen, Nicolaas II van Rusland;	;qp;;NULL
2507;Regan, G.;	;The Guinness Book of Royal Blunders;	;Royal Blunders;	;The Guinness Book of...;	;Guinness;	1995	1995	;naslagwerk;	;z250e;	;George IV van Groot-Brittannië, Ludwig II van Beieren, e.a.;	;Hendrik III van Frankrijk, Christiaan VII van Denemarken, Edward VIII van Engeland, George III van Groot-Brittannië, Nicolaas II van Rusland, Karel VI van Frankrijk, Heliogabalus van Rome, Enrique IV van Kastilië, Karel II van Spanje, Sissi van Beieren;	;xï;;NULL
4422;Pain, N.;	;George III at home;	;George III (At home);	;;	;Eyre Methuen;	1975	1975	;biografie;	;b442e;	;George III van Groot-Brittannië;	;Charlotte van Mecklenburg-Strelitz, George IV van Groot-Brittannië, Willem IV van Groot-Brittannië, prinses Elisabeth van Groot-Brittannië, Frederik van Groot-Brittannië en York, Augusta van Saksen-Gotha, Augustus van Groot-Brittannië, hertog van Sussex;	;ïx;;NULL
2414;Marshall, D.;	;Victoria;	;(The life and times of) Victoria;	;The life and times of...;	;Book Club Associates;	0	1972	;biografie;	;l241e;	;Victoria van Groot-Brittannië;	;Albert van Saksen-Coburg, Victoria van Saksen-Gotha, Edward VII van Groot-Brittannië, Ernst II van Saksen-Coburg, Edward van Groot-Brittannië, hertog van Kent;	;ix;;NULL
2424;Earle, P.;	;James II;	;(The life and times of) James II;	;The life and times of...;	;Book Club Associates;	0	1972	;biografie;	;l242e;	;Jacobus II van Groot-Brittannië;	;Anne Hyde, Mary van Modena, Mary II van Groot-Brittannië, Anne van Groot-Brittannië, Karel II van Groot-Brittannië, Edward Hyde van Clarendon, Willem III van Groot-Brittannië en Oranje, Robert Spencer van Sunderland;	;ix;;NULL
4432;Wiggam, A.E.;	;The fruit of the family tree;	;The fruit of the family tree;	;;	;T. Werner Laurie Ltd.;	0	0	;studie;	;b443e;	;measuring heredity in royalty, cousin marriages;	;the Habsburg lip, the Bourbon family;	;x;;NULL
4442;Friedman, D.;	;Inheritance (A psychological history of the royal family);	;Inheritance;	;;	;Sidgwick & Jackson;	1993	1993	;studie;	;b444e;	;Elisabeth II van Groot-Brittannië, e.a.;	;Victoria van Groot-Brittannië, Edward VII van Groot-Brittannië, George V van Groot-Brittannië, Edward VIII van Groot-Brittannië, George VI van Groot-Brittannië, Charles van Groot-Brittannië, Anne van Groot-Brittannië, Diana Spencer;	;ïxw;;NULL
2577;Nicholas, M.;	;(The world's) Wickedest women;	;The world's wickedest women;	;The world's...;	;Hamlyn;	1984	1996	;biografieën;	;z257e;	;Caroline van Brunswijk, Livia van Rome, Christina van Zweden, e.a.;	;Tzu-hsi van China, Catharina II de grote van Rusland, Maria I de bloedige van Engeland, Erszébet Bathory, Barbara Villiers, Lola Montez, Messalina van Rome, Frances Howard, Lucretia Borgia, Jane Digby, Caroline Lamb, Belle Star;	;ï;;NULL
2587;Blandford, N., Jones, B.;	;(The world's most) Evil men;	;The world's most evil men;	;The world's;	;Hamlyn;	1985	1996	;biografieën;	;z258e;	;Caligula van Rome, Vlad III de spietser van Walachije, e.a.;	;Iwan IV de verschrikkelijke van Rusland, Mehmed III van Turkije, Atilla de Hun, Genghis Khan, Tamerlan, Bokassa I van Centraal-Afrika, Idi Amin van Oeganda, Cesare Borgia, Gilles de Rais;	;ï;;NULL
2597;Schott, I.;	;(World famous) Dictators;	;World famous dictators;	;World famous...;	;Magpie;	0	1992	;biografieën;	;z259e;	;Caligula van Rome, Vlad III de spietser van Walachije, e.a.;	;Genghis Khan, Iwan IV de verschrikkelijke van Rusland, Bokassa I van Centraal-Afrika, Idi Amin van Oeganda, Saddam Hussein van Irak, Nicolae Ceaucescu, Adolf Hitler, Papa Doc;	;î;;NULL
4472;Parkinson Keyes, F.;	;Philips IV;	;I, the King;	;DHR;	;A.J. Luitingh;	0	1966	;roman;	;b447n;	;Filips IV van Spanje;	;;	;;;NULL
2637;Murray Kendall, P.;	;Louis XI (...the universal spider...);	;Louis XI;	;;	;Cardinal;	1971	1974	;biografie;	;z263e;	;Lodewijk XI van Frankrijk;	;Charlotte van Savoye, Karel VII van Frankrijk, Anne de Beaujeu van Frankrijk, Karel van Frankrijk-Berry, Frans II van Bretagne, Karel de stoute van Bourgondië, Philippe de Commynes, Edward IV van Engeland, Margaretha van Schotland, Richard Neville;	;xï;;NULL
2647;Mesjtsjerskaja, J.;	;Een prinses die niet vluchtte (Jekaterina Mesjtsjerskaja);	;Otets i mat' en Troedovoje kresjtsjenie;	;;	;Anthos;	1989	1989	;mémoires;	;z264n;	;Jekaterina Mesjtsjerskaja;	;;	;ï;;NULL
2340;Codrescu, A.;	;The Blood Countess;	;The Blood Countess;	;;	;A Dell Book;	1995	1996	;roman;	;p234e;	;Erszébet Bathory;	;Ferenc Nadasdy;	;;;NULL
2657;Erickson, C.;	;Great Catherine (The life of Catherine the Great, empress..);	;Great Catherine;	;;	;Crown Publishers;	1994	1994	;biografie;	;z265e;	;Catherine II de grote van Rusland;	;Peter III van Rusland, Paul I van Rusland;	;xï;;NULL
2434;Cordfunke, E.P.H. e.a.;	;Gravin Petronilla van Holland (Holland in het begin van...);	;Gravin Petronilla van Holland (ca. 1082-1144);	;;	;De Walburg Pers;	1990	1990	;biografie;	;l243n;	;Petronilla van Opper-Lotharingen;	;Floris II van Holland, Dirk VI van Holland, Floris de zwarte van Holland;	;xï;;NULL
2474;Brody, I.;	;De Windsors (Einde ener illusie);	;Gone with the Windsors;	;;	;Stok Forum Boekerij;	1953	0	;biografie;	;l247n;	;Edward VIII van Groot-Brittannië, Wallis Warfield Simpson;	;;	;ï;;NULL
2667;Wedgwood, C.V.;	;William the silent (William of Nassau. Prince of Orange...);	;William the silent;	;Cassell Biographies;	;Cassell;	1944	1989	;biografie;	;z266e;	;Willem I de zwijger van Oranje;	;Juliana van Stolberg, Anna van Saksen, Charlotte de Bourbon, Louise de Coligny, Anna van Buren;	;x;;NULL
2444;Mansel, Ph.;	;Constantinople (City of the World's Desire, 1453-1924);	;Constantinople;	;;	;John Murray;	1995	1996	;studie;	;l244e;	;Mehmed II de veroveraar van Turkije, Mehmed VI van Turkije, e.a.;	;Mahmud II van Turkije, Abdül Hamid II van Turkije, Murad IV van Turkije, Abdül Mecid I van Turkije, Ahmed III van Turkije, Mehmed IV van Turkije, Selim II van Turkije, Murad III van Turkije, Ibrahim I van Turkije, Nikolaas Mavrocordat van Walachije;	;xï;;NULL
2454;Freely, J.;	;Istanbul (The imperial city);	;Istanbul;	;;	;Viking;	1996	1996	;studie;	;l245e;	;Justinianus I van Byzantium, Mahmud II van Turkije, e.a.;	;Constantijn I de grote van Rome, Mehmed II de veroveraar van Turkije, Johan V Palaeologos van Byznatium, Ahmed III van Turkije, Alexius I Comnenus van Byzantium, Abdül Hamit II van Turkije, Murad IV van Turkije, Ahmed I van Turkije, Selim II van Turkije;	;xi;;NULL
2677;Norwich, J.J.;	;Byzantium (The decline and fall);	;Byzantium III: The decline and fall;	;Byzantium III (1081-1453);	;Penguin Books;	1995	1996	;studie;	;z267e;	;Alexius I Comnenos van Byzantium, Anna Comnena van Byzantium, e.a.;	;Andronikos II Paleologos van Byzantium, Johannes II Comnenos, Johannes VI Cantacuzenos van Byzantium, Constantijn XI Paleologos van Byzantium, Alexius III Angelos van Byzantium, Andronikos III Paleologos van Byzantium, Manuel I Comnenos van Byzantium;	;ïx;;NULL
2687;Baumgartner, F.J.;	;Louis XII;	;Louis XII;	;;	;MacMillan;	1994	1996	;biografie;	;z268e;	;Lodewijk XII van Frankrijk;	;Anna van Bretagne, Maria Tudor van Engeland, Johanna de manke van Frankrijk, Geroges I d'Amboise, Frans I van Frankrijk, Karel VIII van Frankrijk;	;x;;NULL
2697;Erlanger, Ph.;	;Isabella van Castilië en Aragon;	;Isabella La Catholique;	;Hadewijch's Historische Reeks;	;Hadewijch;	1987	1992	;biografie;	;z269n;	;Isabella I de katholieke van Kastilië, Ferdinand II van Aragon;	;Johanna de waanzinnige van Kastilië, Isabella van Portugal;	;ï;;NULL
2464;Brion, M.;	;The Medici (A great Florentine family);	;The Medici (A great Florentine family);	;;	;Ferndale Editions;	1969	1980	;studie;	;l246e;	;Lorenzo il magnifico de' Medici, paus Leo X de' Medici, e.a.;	;Giovanni delle bande nere de' Medici, paus Clemens VII de' Medici, Cosimo I de' Medici, Frans I de' Medici, Bianca Capello, Cosimo III de' Medici;	;ix;;NULL
2767;Aksit, I.;	;Topkapi Palace;	;Topkapi Sarayi;	;Aksit Kültür Turizm;	;Aksit;	1997	0	;gids;	;z276e;	;Topkapi paleis;	;Selim III van Turkije, Bayezid II van Turkije, Murad III van Turkije, Mustafa IV van Turkije, Murad IV van Turkije, Osman III van Turkije, Osman II van Turkije, Selim II van Turkije, Süleyman I van Turkije, Ahmed III van Turkije;	;i;;NULL
2604;Dedeoglu, A.;	;The Ottomans;	;Osmanli;	;;	;Osmanli Publishing;	1982	0	;biografieën;	;l260e;	;Mahmud II van Turkije, Abdül Hamid II van Turkije, e.a.;	;Mehmed II de veroveraar van Turkije, Bayezid II van Turkije, Murad III van Turkije, Selim I van Turkije, Ibrahim I van Turkije, Mustafa I van Turkije, Osman II van Turkije, Abdül Mecid I van Turkije, Selim III van Turkije, Mehmed IV van Turkije;	;ix;;NULL
4522;Does, Dr. J.C. van der;	;Prinsessen uit het Huis van Oranje;	;Princessen uit het Huis van Oranje;	;;	;C.J. Terwee;	1938	0	;biografieën;	;b452n;	;Louise Juliana van Oranje-Nassau, Sophie van Nederland, e.a.;	;Charlotte de Bourbon, Maria van Oranje-Nassau, Emilia van Oranje-Nassau, Carolina van Oranje-Nassau, Louise van Nederland, Marianne van Nederland, Henri de La Tour d'Auvergne, Claude de La Trémouille, Enno Lodewijk van Oost-Friesland;	;ï;;NULL
2624;Barber, R.;	;The Devil's Crown (A history of Henry II and his sons);	;The Devil's Crown;	;;	;Book Club Associates;	1978	1978	;studie;	;l262e;	;Hendrik II van Engeland, Richard I leeuwenhart van Engeland;	;Jan zonder land van Engeland, 'John Lackland', Eleonora van Aquitanië, Hendrik de jonge van Engeland, Geoffrey van Engeland, Alais van Frankrijk;	;xij;;NULL
2634;Dijkstra, H. (ed.);	;The Romans;	;The Roman Empire (The New History of the World);	;History of the Ancient & Medieval World;	;Marshall Cavendish;	0	1996	;naslagwerk;	;l263e;	;Caligula van Rome, Caracalla van Rome, e.a.;	;Julius Caesar, Nero van Rome, Commodus van Rome, Heliogabalus van Rome, Claudius van Rome, Constantijn de grote van Rome, Vespasianus van Rome, Tiberius van Rome, Septimius Severus van Rome, Trajanus van Rome, Diocletianus van Rome, Marcus Aurelius;	;xib;;NULL
4532;Epton, N.;	;The Spanish Mousetrap (Napoleon and the Spanish Court);	;The Spanish Mousetrap;	;;	;Macdonald;	1973	1973	;studie;	;b453e;	;Karel IV van Spanje, e.a.;	;Napoleon Bonaparte, Ferdinand IV van Sicilië, Ferdinand VII van Spanje, Lodewijk van Etrurië, Maria Louisa van Bourbon-Parma, Maria Caroline van Oostenrijk, Maria Isabella van Spanje, Frans I van Sicilië, Maria Louisa van Spanje, Antonio van Spanje;	;ï;;NULL
4552;Drummond, H.;	;The Queen's Man (Mary Queen of Scots and the 4th Earl...);	;The Queen's Man - Lovers or villains?;	;;	;Leslie Frewin;	1975	1975	;biografie;	;b455e;	;James Hepburn van Bothwell, Mary I Stuart van Schotland;	;Henry Stuart, lord Darnley, Patrick Hepburn van Bothwell;	;;;NULL
4542;Cleugh, J.;	;The Medici (A tale of fifteen generations);	;The Medici (A tale of fifteen generations);	;;	;Dorset Press;	1975	1990	;biografieën;	;b454e;	;Lorenzo il magnifico de' Medici, Alessandro de' Medici, e.a.;	;paus Clemens VII de' Medici, Catharina de' Medici, Cosimo I de' Medici, Cosimo III de' Medici, Gian Gastone de' Medici, Piero di Lorenzo de' Medici, paus Leo X de' Medici, Francesco de' Medici, Maria de' Medici, Cosimo de oudere de' Medici;	;x;;NULL
5592;Bankl, dr. H.;	;Die Kranken Habsburger (Befunde und Befindlichkeiten..);	;Die Kranken Habsburger;	;;	;K&S Bertelsmann;	1998	1998	;studie;	;b559d;	;Maria Theresia van Oostenrijk, e.a.;	;Josef II van Oostenrijk, Frans Josef I van Oostenrijk, Sissi van Beieren, Frans Ferdinand van Oostenrijk, Ferdinand IV van Oostenrijk;	;;;NULL
2777;Cowles, V.;	;The Romanovs;	;The Romanovs;	;;	;Penguin Books;	1971	1974	;biografieën;	;z277e;	;Peter I de grote van Rusland, Nicolaas I van Rusland, e.a.;	;Catharina II de grote van Rusland, Nicolaas II van Rusland, Alexander II van Rusland, Alexander III van Rusland, Alexander I van Rusland, Paul van Rusland, Peter III van Rusland, Elisabeth I van Rusland, Anna Iwanowna van Rusland, Michael I van Rusland;	;ix¿;;NULL
4562;Randall, D.;	;Royal follies (A chronicle of royal misbehavior);	;Royal follies (A chronicle of royal misbehavior);	;;	;Sterling Publishing;	1987	1988	;naslagwerk;	;b456e;	;Caroline van Brunswick, Ludwig II van Beieren, e.a.;	;Farouk I van Egypte, Anna Iwanowna van Rusland, Abdül Hamid II van Turkije, Ibrahim I van Turkije, Nadir Shah van Perzië, Albert Victor van Groot-Brittannië, Boleslaw II van Polen, Murad IV van Turkije, Paul I van Rusland, Vlad III van Wallachije;	;ïp;;NULL
2787;Green, J.;	;Famous last words (Dictionary of Quotations);	;Famous last words;	;;	;Omnibus Press;	1979	1979	;dictionaire;	;z278e;	;Napoleon Bonaparte, Abraham Lincoln, e.a.;	;Edward VII van Groot-Brittannië, Karel II van Groot-Brittannië, Sir Philip Sidney, Lucretia Borgia, Louis II de Bourbon-Condé, Farouk I van Egypte, Babar van India;	;ïp;;NULL
2644;Balázs, G., Szelényi, K.;	;The Magyars (The birth of a European nation);	;;	;;	;Corvina;	0	1989	;naslagwerk;	;l264e;	;Stephan I de heilige van Hongarije, e.a.;	;Ladislas I de heilige van Hongarije, Béla II de blinde van Hongarije, Coloman van Hongarije, Andrew II van Hongarije, Elizabeth de heilige van Thüringen, Gertrude van Merano, Margaret de heilige van Hongarije, Milutin van Servië;	;i;;NULL
4572;Humphrey, E.;	;The Royal Road (A popular history of Iran);	;The Royal Road (A popular history of Iran);	;;	;Scorpion Publishing;	1991	1991	;studie;	;b457e;	;Abbas I van Perzië, Shapur II de grote van Perzië, e.a.;	;Ismail I van Perzië, Nadir Shah van Perzië, Cyrus II de grote van Perzië, Darius I de grote van Perzië, Hülagü Khan, Karim Khan Zand van Perzië, Alp Arslan van Perzië, Nasir al-Din van Perzië, Yazdigird III van Perzië, Tamasp I van Perzië, Tamerlan;	;x;;NULL
4582;;	;Lexicon Geschiedenis van Nederland & België;	;Lexicon Geschiedenis van Nederland & België;	;;	;Kosmos;	1994	0	;naslagwerk;	;b458n;	;geschiedenis van Nederland;	;Willem I de zwijger van Oranje, Reinoud I van Gelre, Floris I van Culemborg, Willem Lodewijk "Us Heit" van Nassau-Dillenburg, Willem I van Nederland, Willem V van Holland, Jacoba van Beieren, Jan I van Brabant, Willem III van Nederland, e.a.;	;p;;NULL
2654;Carstens, A.L.;	;De band tussen Oranje-Nassau en Nederland;	;;	;;	;N.V. voor Druk- en...;	0	1948	;jubileumboek;	;l265n;	;Willem I de zwijger van Oranje, e.a.;	;Wilhelmina van Nederland, Johanna van Polanen, Anna van Egmond, Filips de Montmorency van Hoorne, Lamoraal I van Egmond, Jan II van Polanen, Willem III van Holland, Maria van Heinsberg, Oda van Hoorne, Oda van Salm, Filippa van Valkenburg;	;;;NULL
4592;Bertram, W.;	;A royal recluse (Memories of Ludwig II of Bavaria);	;;	;;	;Martin Herpich & Son;	1936	1936	;biografie;	;b459e;	;Ludwig II van Beieren;	;Otto van Beieren, Max II van Beieren, Paul van Thurn und Taxis, Richard Wagner, Marie van Pruisen, Sissi van Beieren, Clodwig van Hohenlohe-Schillingfürst;	;i;;NULL
4612;Humama, Ch.;	;The keeper of the bed (The story of the euneuch);	;;	;;	;Arlington Books;	1973	1973	;studie;	;b461e;	;euneuchen;	;;	;ï;;NULL
4632;Pratt, M.;	;The Third King;	;The Third King;	;;	;William Sloane Ass.;	1950	1950	;verhalen;	;b463e;	;Waldemar IV Attendag van Denemarken;	;Kristoffer II van Denemarken, Waldemar II van Denemarken, Magnus Smek van Zweden, Blanche van Namen, Albrecht van Mecklenburg, Gerhard de grote van Holstein, Johan de milde van Holstein;	;;;NULL
4812;Penzer, N.M.;	;The Harem (An account of ... Turkish Sultans ... );	;The Harem;	;;	;Spring Books;	1936	1967	;studie;	;b481e;	;Süleyman I van Turkije, Mehmed II van Turkije, e.a.;	;Ahmed III van Turkije, Abdül Hamid II van Turkije, Mehmed IV van Turkije, Murad III van Turkije, Ibrahim I van Turkije, Selim III van Turkije, Selim II van Turkije, Bayezid II van Turkije, Ahmed I van Turkije, Selim II van Turkije, Selim I van Turkije;	;xï;;NULL
2937;Thorne, T.;	;De Bloedgravin;	;Countess Dracula;	;;	;Luitingh-Sijthoff;	1997	1998	;studie;	;z293n;	;Erszébet Bathory;	;Ferenc Nadasdy;	;p;;NULL
2947;Kinross, L.;	;The Ottoman Centuries (The Rise and Fall of the Turkish...);	;The Ottoman Centuries;	;;	;Morrow Quill;	1977	1979	;studie;	;z294e;	;Mehmed II van Turkije, Ahmed III van Turkije, e.a.;	;Selim III van Turkije, Abdül Hamid II van Turkije, Abdül Aziz van Turkije, Bayezid I van Turkije, Ibrahim I van Turkije, Mahmud II van Turkije, Mustafa I van Turkije, Mehmed IV van Turkije, Murad IV van Turkije, Süleyman I van Turkije, Köprülü Ahmed II;	;xï;;NULL
4822;Lauring, P.;	;A history of Denmark;	;Denmarks Historie;	;;	;Høst & Søn;	1995	1960	;studie;	;b482e;	;Christiaan IV van Denemarken, e.a.;	;Frederik VI van Denemarken, Christiaan VII van Denemarken, Christiaan II van Denemarken, Waldemar IV Attendag van Denemarken, Margaretha I van Denemarken, Harald I Blauwtand van Denemarken, Erik VII van Pommeren, Knut de grote van Denemarken;	;xï;;NULL
2754;Scocozza, B.;	;Politikens Bog om Danske Monarker;	;Politikens Bog om Danske Monarker;	;;	;Politikens Forlag;	1997	1998	;biografieën;	;l275k;	;Christiaan IV van Denemarken, e.a.;	;Frederik VI van Denemarken, Christiaan VII van Denemarken, Harald I Blauwtand van Denemarken, Christiaan II van Denemarken, Christiaan V van Denemarken, Erik VII van Pommeren, Magaretha I van Denemarken, Waldemar IV Attendag van Denemarken;	;ix;;NULL
2957;Desing, J.;	;Royal Castle Neuschwanstein (The King and his Castle);	;Schloss Neuschwanstein;	;Royal Castles;	;Verw. d. staatl. Schl.;	0	1992	;studie;	;z295e;	;Ludwig II van Beieren, Neuschwanstein;	;;	;ib;;NULL
2967;Desing, J.;	;King Ludwig II (His life - His end);	;König Ludwig II;	;;	;Kienberger;	1976	1976	;biografie;	;z296e;	;Ludwig II van Beieren;	;Max II van Beieren, Sophie van Beieren, Richard Wagner;	;ï;;NULL
4992;Reiser, R.;	;Die Wittelsbacher (1180-1918) - Ihre Geschichte in Bildern;	;Die Wittelsbacher (1180-1918);	;;	;Bruckmann;	1979	1995	;studie;	;b499d;	;Ludwig II van Beieren, Jacoba van Beieren, e.a.;	;Ludwig I van Beieren, Max II Emanuel van Beieren, Max I Joseph van Beieren, Maximilian van Löwenstein-Wertheim, Max II van Beieren, Ludwig IV de Beier van Beieren, Willem IV van Beieren, Isabeau van Beieren, Klemens August van Keulen;	;ixv;;NULL
5002;Rall, H., Rall, M.;	;Die Wittelsbacher (in Lebensbildern);	;Die Wittelsbacher (in Lebensbildern);	;In Lebensbildern;	;Verlag Styria;	0	1986	;biografieën;	;b500d;	;Ludwig II van Beieren, Rupprecht I van de Palts, e.a.;	;Karel XII van Zweden, Ludwig I van Beieren, Max II Emanuel van Beieren, Ludwig IV de Beier van Beieren, Klemens August van Keulen, Karel VII Albrecht van Beieren, Sissi van Beieren, Max in Beieren, Frederik V de winterkoning van de Palts;	;ïxgv;;NULL
2987;Raleigh, D.J., e.a. (ed.);	;The Emperors and Empresses of Russia (Rediscovering...);	;The Emperors and Empresses of Russia;	;The New Russian History Series;	;M.E. Sharpe;	1996	1996	;biografieën;	;z298e;	;Catharina II de grote van Rusland, e.a.;	;Peter I de grote van Rusland, Nicolaas II van Rusland, Alexander I van Rusland, Alexander II van Rusland, Paul I van Rusland, Anna Iwanowna van Rusland, Peter III van Rusland,, Alexander III van Rusland, Nicolaas I van Rusland;	;xï¿;;NULL
6402;Kamen, H.;	;Philip V of Spain (The King who Reigned Twice);	;Philip V of Spain (The King who Reigned Twice);	;;	;Yale University Press;	0	2001	;biografie;	;b640e;	;Filips V van Spanje;	;Elisabeth Farnese, Luis I van Spanje, Marie Louise van Savoye, Ferdinand VI van Spanje, Louis de Rouvroy van Saint-Simon;	;xï;;NULL
2997;Florescu, R.R., e.a.;	;Dracula (Prince of Many Faces) - His Life and Hist Times;	;Dracula (Prince of Many Faces);	;;	;Back Bay Books;	0	1989	;biografie;	;z299e;	;Vlad III de spietser van Wallachije;	;Vlad de monnik van Wallachije, Vladislav II van Wallachije, Vlad II Dracul van Wallachije, Dan III van Wallachije, Ladislas V van Hongarije, Matthias Corvinus van Hongarije, Radu III de schone van Wallachije, Mircea de oude van Wallachije, Caltuna, Cnea;	;xï;;NULL
3017;Mens, P.G.M. van;	;Sultan Abdoel Hamid II (1842-1918);	;Sultan Abdoel Hamid II (1842-1918);	;;	;Uitgave Het Rode Hart;	1996	1996	;biografie;	;z301n;	;Abdül Hamid II van Turkije;	;Abdül Mecid van Turkije, Murad V van Turkije, Mehmed V van Turkije, Murad IV van Turkije, Mehmed II de veroveraar van Turkije, Mahmud II van Turkije, Yildiz paleis;	;x;;NULL
2774;Martin, P.;	;The Chrysanthemum Throne (History of the Emperors of Japan);	;The Chrysanthemum Throne;	;;	;University of Hawai'i;	0	1997	;biografieën;	;l277e;	;Herohito van Japan, Montoku van Japan, e.a.;	;Akahito van Japan, Go-Shirakawa van Japan, Tokugawa Ieyasu, Kammu van Japan, Sotoku van Japan, Tenji van Japan, Suïko van Japan, Higashiyama van Japan, Minamoto Joritomo, Fujiwara Michinaga, Mutsuhito van Japan, Go-Yozei van Japan, Uda van Japan;	;xi;;NULL
2764;Stuart, M.;	;The Forgotten Monarchy of Scotland (The True Story...);	;The Forgotten Monarchy of Scotland;	;;	;Element;	1998	1998	;biografieën;	;l276e;	;Charles Edward Stuart van Schotland, 'Bonnie Prince Charlie' e.a.;	;Robert I the Bruce, Mary I Stuart van Schotland,  Margaret Ætheling van Engeland, William Walace, Jacobus I van Engeland en Schotland, Jacobus II van Groot-Brittannië, Jacobus IV van Schotland, Macbeth van Schotland;	;xï;;NULL
5022;Knappich, W.;	;Die Habsburger-Chronik (Lebensbilder und Charaktere...);	;Die Habsburger-Chronik;	;;	;Das Bergland-Buch;	0	1959	;biografieën;	;b502d;	;Maximiliaan I van Oostenrijk, e.a.;	;Rudolf I van Habsburg, Frans Jozef I van Oostenrijk, Karel V van Oostenrijk, Rudolf II van Oostenrijk, Maria Theresia van Oostenrijk, Leopold I van Oostenrijk, Jozef II van Oostenrijk, Albrecht II van Habsburg, Maximiliaan II van Oostenrijk;	;ïh;;NULL
5012;Aronson, Th.;	;De Coburgs van België (Geschiedenis van een vorstenhuis);	;The Coburgs of Belgium;	;;	;Brecht's;	0	0	;biografieën;	;b501n;	;Albrecht I van België, e.a.;	;Leopold II van België, Leopold I van België, Leopold III van België, Charlotte van België, Elisabeth van Beieren, Louise van België, Stephanie van België, Boudewijn I van België, Filips van België, Maximiliaan van Oostenrijk en Mexico;	;xï;;NULL
5032;;	;Nederland's Adelsboek 1908;	;;	;Nederland's Adelsboek;	;Van Stockum & Zoon;	1908	1908	;naslagwerk;	;b503n;	;genealogiën;	;Van Wassenaer, Van Reede, Van Zuylen van Nievelt, Van Quadt, Van Haersolte, Van Boetzelaer, Van der Capellen, Van Slingelandt, Van Heemstra, Van Foreest, Torck, Sloet, Van Loon;	;;;NULL
2977;Earle, P.;	;Henry V;	;Henry V;	;Kings & Queens;	;Cardinal;	0	1972	;biografie;	;z297e;	;Hendrik V van Engeland;	;Catharina van Frankrijk, Karel VI van Frankrijk, Humphrey van Engeland-Gloucester;	;xï;;NULL
3007;Mc Intosh, Ch.;	;Ludwig II of Bavaria (The Swan King);	;Ludwig II of Bavaria (The Swan King);	;;	;I.B. Tauris;	0	1982	;biografie;	;z300e;	;Ludwig II van Beieren;	;Otto van Beieren, Max II van Beieren, Marie van Pruisen, Paul van Thurn und Taxis, Richard Wagner, Sophie van Beieren, Max von Holnstein, Richard Hornig, Bernhard von Gudden;	;xï;;NULL
