Column 0;Auteur;Column 2;Titel;Column 4;AlterTitel;Column 6;Serie;Column 8;Uitgever;Jaren2;Type;Column 12;Code;Column 14;Onderwerp1;Column 16;Onderwerp2;Column 18;Inhoud;Column 20;InvoerDatum
0167;Elgklou, L.;	;Koninklijke minnaars en minnaressen;	;Kungliga gunstligar och favoriter;	;;	;Standaard;	1984	1985	;studie;	;z016n;	;Lodewijk XV van Frankrijk, Catharina II de grote van Rusland, e.a.;	;Ludwig I van Beieren, George IV van Groot-Brittannië, Napoleon I Bonaparte, Rudolf van Oostenrijk, Karel XV van Zweden, Frederik I van Zweden en Hessen-Kassel, Augustus II de sterke van Polen, Alexander I van Rusland, Edward VII van Groot-Brittannië;	;ïx;;NULL
0280;Evans, J.;	;King's puritan;	;King's puritan;	;Masquerade Historical Romances;	;Masquerade;	1982	1982	;romannetje;	;p028e;	;De royalisten ten tijde van Cromwell;	;;	;;;NULL
0320;Fabre, L.;	;De maagd van Orléans;	;Jeanne d'Arc;	;;	;De Zonnewijzer;	1948	1955	;roman;	;p032n;	;Jeanne d'Arc;	;Karel VII van Frankrijk;	;;;NULL
0267;Fabricius, J.;	;De grote geus;	;;	;;	;H.P. Leopolds;	1949	1963	;roman;	;z026n;	;Hendrik van Brederode;	;Willem I de zwijger van Oranje;	;;;NULL
0080;Farnum, D.;	;De godin van Oud Zuilen;	;;	;;	;Elseviers pocket;	1960	0	;roman;	;p008n;	;Isabella van Tuyl van Serooskerken, 'Belle van Zuijlen';	;;	;;;NULL
0552;Fast, H.;	;Agrippa's dochter;	;Agrippa's daughter;	;;	;Erven Tijl;	0	0	;roman;	;b055n;	;Berenice II van Israel;	;Herodes Agrippa II van Israel;	;;;NULL
0027;Fawtier, R.;	;The Capetian Kings of France;	;Les Capétiens de France;	;;	;MacMillan;	1960	1985	;studie;	;z002e;	;De Capetingen, nakomelingen van Hugo Capet van Frankrijk;	;Filips II Augustus van Frankrijk, Lodewijk IX de heilige van Frankrijk, Filips I van Frankrijk, Lodewijk VII van Frankrijk, Filips IV de schone van Frankrijk, Lodewijk X de woelzieke van Frankrijk;	;x;;NULL
0034;Fecher, C.;	;Anne Oldfield;	;Player Queen;	;Duetserie (VIII);	;Spaarnestad;	1968	0	;roman;	;l003n;	;;	;;	;;;NULL
0302;Ferrier, N.;	;The coronation book;	;The coronation book;	;;	;;	1953	0	;fotoboek;	;b030e;	;Elisabeth II van Groot-Brittannië;	;;	;;;NULL
0572;Ferval, C.;	;Cleopatra, koningin der liefde;	;Cleopatra;	;;	;Tiebosch;	1981	0	;roman;	;b057n;	;Cleopatra VII van Egypte;	;Julius Caesar van Rome;	;;;NULL
0354;Firoozi, E. e.a.;	;Wereldgeschiedenis 5: Het tijdperk van de grote vorsten;	;;	;Nieuwe geïll. wereldgeschiedenis (5);	;Zuid-Nederlandse;	1966	0	;naslagwerk;	;l035n;	;Ferdinand II van Aragon, Karel II van Groot-Brittannië, e.a.;	;Frederik II de grote van Pruisen, Iwan IV de verschrikkelijke van Rusland, Hendrik VIII Tudor van Engeland, Elisabeth I Tudor van Engeland, Lodewijk XIV de zonnekoning van Frankrijk, Peter I de grote van Rusland, Catharina II de grote van Rusland;	;i;;NULL
1692;Fort, G. von le;	;De Majesteit;	;;	;Plus Ultra;	;De Brouwer;	0	0	;roman;	;b169n;	;Margaretha van Oostenrijk, landvoogdes van de Nederlanden;	;;	;;;NULL
0717;Frank, B.;	;Het bewogen leven van baron Von der Trenck;	;Freiherr Friedrich Von der Trenck;	;;	;Gooise Uitgeverij;	0	1974	;roman;	;z071n;	;Amalie van Pruisen;	;Frederik II de grote van Pruisen;	;;;NULL
0582;Franzero, C.M.;	;Cleopatra;	;The life and times of Cleopatra;	;;	;Elsevier;	0	1963	;biografie;	;b058n;	;Cleopatra VII van Egypte;	;Julius Caesar van Rome, Ptolemeus XIV van Egypte, Marcus Antonius van Rome, Augustus van Rome;	;erj;;NULL
0367;Fraser, A.;	;Krijgshaftige koninginnen (Levens en legenden van...);	;Boadicca's Chariot;	;;	;Bosch & Keuning;	1988	1990	;studie;	;z036n;	;Boadicca van de Iceni, Tamara van Georgië, Zenobia van Palmyra, e.a.;	;Cleopatra VII van Egypte, Jinga Mbandi van Angola, 'Anna de Sousa', Louise van Mecklenburg-Strelitz, Lakshmi Bai van Jhansi, Elisabeth I Tudor van Engeland, Mathilde van Toskane, Caterina Sforza van Milaan, Isabella I de katholieke van Kastilië;	;ïx;;NULL
1032;Gall, J. en F.;	;Madame de Pompadour;	;Mauve aux étranges amours;	;;	;Loeb Uitgevers;	0	0	;roman;	;b103n;	;Lodewijk XV van Frankrijk, Jeanne Antoinette Poisson de Pompadour;	;;	;t;;NULL
1402;Gavin, C.;	;De cactus en de kroon;	;The cactus and the crown;	;;	;Boekerij;	0	0	;roman;	;b140n;	;Maximiliaan van Oostenrijk en Mexico, Charlotte van België;	;;	;;;NULL
0942;Gavin, C.;	;Madeleine;	;Madeleine;	;;	;Boekenclub;	1957	0	;roman;	;b094n;	;Madeleine d'Arbonne;	;;	;;;NULL
0414;Gavin, C.;	;Olga, de dochter van de tsaar;	;The snow mountain;	;;	;NBC;	0	1973	;roman;	;l041n;	;Olga van Rusland;	;Nicolaas II van Rusland, Alexandra van Hessen-Darmstadt;	;;;NULL
0632;Gedge, P.;	;Dochter van de dagenraad;	;Child of the morning;	;;	;Omega Book;	1977	1979	;roman;	;b063n;	;Hatshepsoet van Egypte;	;Toetmoses II van Egypte;	;;;NULL
1742;Geers, dr. G.J.;	;Van het barokke leven;	;;	;;	;Wereldvenster;	1957	0	;schets;	;b174n;	;;	;;	;;;NULL
1652;Geest, dr. T.J.;	;Madame de Charrière (Belle van Zuylen een leven uit de...);	;;	;;	;Van Gorkum;	1955	0	;biografie;	;b165n;	;Isabella van Tuyl van Serooskerke, 'Belle van Zuylen';	;;	;;;NULL
0082;Gellis, R.;	;Met het zwaard beslecht;	;Bond of blood;	;;	;Luitingh / DHR;	0	0	;roman;	;b008n;	;Stephan van Engeland;	;;	;;;NULL
0077;Gerard, A. e.a.;	;Geschiedenis van België;	;;	;;	;A. Vanderlinden;	1966	0	;lesmateriaal;	;z007n;	;Boudewijn VII van Vlaanderen, Filips de goede van Bourgondië, e.a.;	;Godfried van Bouillon, Boudewijn IX van Vlaanderen, Jacques van Châtillon, Jan I van Brabant, Karel V van Oostenrijk;	;î;;NULL
0370;Gerson, N.B.;	;The emperor's ladies;	;The emperor's ladies;	;;	;DELL;	1959	1962	;roman;	;p037e;	;Napoleon I Bonaparte van Frankrijk;	;;	;;;NULL
1042;Gerson, N.B.;	;Vrouwen rond de keizer;	;The emperor's ladies;	;;	;UAJL;	1959	0	;roman;	;b104n;	;Napoleon I Bonaparte van Frankrijk;	;;	;;;NULL
0070;Gooch, G.P.;	;Lodewijk XV;	;;	;Prisma-boeken;	;Spectrum;	1959	0	;biografie;	;p007n;	;Lodewijk XV van Frankrijk;	;Jeanne Antoinette Poisson, madame De Pompadour, Jeanne Vaubernier, madame Du Barry, Marie Lesczinska van Polen, koningin van Frankrijk;	;x;;NULL
0152;Grant, N.;	;History of Britain;	;History of Britain;	;Children's;	;Hamlyn;	1977	1981	;naslagwerk;	;b015e;	;Willem I de veroveraar van Engeland, Edward III van Engeland, e.a.;	;Hendrik II van Engeland, Jan zonder land van Engeland, Robert I Bruce van Schotland, Hendrik VIII Tudor van Engeland, Victoria van Groot-Brittannië, Elisabeth I van Engeland, 'John Lackland';	;i;;NULL
1342;Grevelingen, H. van;	;Stilte om een paleis;	;;	;;	;Witte Raven;	1949	0	;roman;	;b134n;	;Catharina II de grote van Rusland, Alexander Lanskoj;	;;	;;;NULL
0314;Grimberg, C.;	;17e en 1e helft 18e eeuw;	;Världhistoria;	;Sesam Wereld Geschiedenis (4);	;Bosch & Keuning;	0	1981	;encyclopedie;	;l031n;	;De dertigjarige oorlog;	;Lodewijk XIV van Frankrijk, Peter I de grote van Rusland, Iwan IV de verschrikkelijke van Rusland;	;i;;NULL
0324;Grimberg, C.;	;2e helft 18e en 19e eeuw;	;Världhistoria;	;Sesam Wereld Geschiedenis (5);	;Bosch & Keuning;	0	1981	;encyclopedie;	;l032n;	;De Amerikaanse vrijheidsoorlog, de Amerikaanse burgeroorlog;	;De Franse Revolutie, Napoleon I Bonaparte, Otto von Bismarck;	;i;;NULL
6662;Tillyard, S.;	;Aristocrats (The Illustrated Companion to the Television..);	;Aristocrats (The Illustrated Companion);	;;	;Weidenfeld & Nicholson;	0	1999	;studie;	;b666e;	;Emily Lennox, Caroline Lennox, Sarah Lennox, e.a.;	;Louisa Lennox, James Fitzgerald van Leinster, Henry Fox, Lord Holland, Charles Lennox van Richmond, Charles James Fox, Edward Fitzgerald, Tom Conolly, George Napier, George III van Groot-Brittannië, Louise de Keroualle van Portsmouth, William Ogilvie;	;ïx;;NULL
4277;Raskin, B.;	;Hartenheer (Een Koningsverhaal);	;;	;;	;Halewyck/Balans;	2001	2001	;verhaal;	;z427n;	;Christiaan II van Denemarken;	;Isabella van Oostenrijk, Dorothea van Brandenburg, Christiaan van Denemarken, Hans van Denemarken, Christina van Saksen, Duveke Claesdochter;	;i;;NULL
